Species	Temp	BodyWeight	g	Diet
Calanus	8.5	75.4	0	O
Calanus	8.5	75.4	0.004	O
Calanus	8.5	75.4	0	O
Calanus	8.5	75.4	0.028	O
Calanus	8.5	75.4	0	O
Calanus	7.5	75.4	0.001	O
Calanus	7.5	75.4	0.012	O
Calanus	7.5	75.4	0	O
Calanus	7.5	75.4	0.004	O
Calanus	7.5	75.4	0.062	O
Calanus	7.5	75.4	0.008	O
Calanus	7.5	75.4	0.073	O
Calanus	7.5	75.4	0.034	O
Calanus	7.5	75.4	0.004	O
Calanus	7.5	75.4	0.04	O
Calanus	6.5	75.4	0.028	O
Calanus	6.5	75.4	0.02	O
Calanus	6.5	75.4	0.029	O
Calanus	6.5	75.4	0.011	O
Calanus	6.5	75.4	0.006	O
Calanus	6.5	75.4	0.046	O
Calanus	6.5	75.4	0.051	O
Calanus	6.5	75.4	0.075	O
Calanus	0	3620	0.0002	O
Calanus	0	3620	0.00006	O
Calanus	1	3620	0.00013	O
Calanus	1.5	3620	0.00016	O
Calanus	1.5	3620	0.00053	O
Calanus	1.5	3620	0.0001	O
Calanus	2	3620	0.00003	O
Calanus	10	94.73	0.049	O
Calanus	10	94.73	0.049	O
Calanus	10	60.05	0.059	O
Calanus	10	104.11	0.034	O
Calanus	10	94.73	0.078	O
Calanus	10	90.28	0.132	O
Calanus	10	104.11	0.059	O
Calanus	10	109.05	0.18	O
Calanus	10	70.32	0.105	O
Calanus	10	119.46	0.062	O
Calanus	10	155.16	0.004	O
Calanus	10	114.17	0.124	O
Calanus	10	119.46	0.084	O
Calanus	10	119.46	0.09	O
Calanus	10	90.28	0.119	O
Calanus	10	114.17	0.148	O
Calanus	10	119.46	0.152	O
Calanus	10	124.94	0.146	O
Calanus	10	J09.05	0.167	O
Calanus	10	119.46	0.111	O
Calanus	10	114.17	0.117	O
Calanus	10	99.34	0.007	O
Calanus	10	124.94	0.095	O
Calanus	10	168.65	0.071	O
Calanus	10	94.73	0.1	O
Calanus	10	119.46	0.079	O
Calanus	10	104.11	0.064	O
Calanus	10	104.11	0.064	O
Calanus	10	183	0.098	O
Calanus	10	114.17	0.158	O
Calanus	10	119.46	0.08	O
Calanus	10	161.8	0.031	O
Calanus	10	136.44	0.036	O
Calanus	10	104.11	0.047	O
Calanus	10	109.05	0.02	O
Calanus	10	142.48	0.015	O
Calanus	10	124.94	0.018	O
Calanus	10	99.34	0.143	O
Calanus	10	85.99	0.165	O
Calanus	10	104.11	0.092	O
Calanus	10	148.72	0.065	O
Calanus	10	155.16	0.062	O
Calanus	10	104.11	0	O
Calanus	10	104.11	0.186	O
Calanus	10	155.16	0.14	O
Calanus	10	114.17	0.003	O
Calanus	10	104.11	0.013	O
Calanus	10	94.73	0.198	O
Calanus	10	99.34	0.003	O
Calanus	10	136.44	0	O
Calanus	10	109.05	0.135	O
Calanus	10	85.99	0	O
