"","sst","chlo","tmax","dt","pico_biom","nano_biom","micro_biom","phyto_slope","phyto_int","phyto_max"
"187",0,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"188",1,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"189",2,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"190",3,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"191",4,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"192",5,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"193",6,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"194",7,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"195",8,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"196",9,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"197",10,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"198",11,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"199",12,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"200",13,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"201",14,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"202",15,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"203",16,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"204",17,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"205",18,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"206",19,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"207",20,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"208",21,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"209",22,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"210",23,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"211",24,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"212",25,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"213",26,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"214",27,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"215",28,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"216",29,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"217",30,0.125892541179417,1000,0.01,0.0542835267805691,0.0306702076374524,0.0125452293537172,-1.08265044656244,-3.18500719583962,-8.1
"218",0,0.158489319246111,1000,0.01,0.0611478429472522,0.0411322928590677,0.0173939173244044,-1.05739940739004,-2.80198924594842,-8.1
"219",1,0.158489319246111,1000,0.01,0.0611478429472522,0.0411322928590677,0.0173939173244044,-1.05739940739004,-2.80198924594842,-8.1
